0,1058
10000,26323936
20000,80886112
30000,127126555
40000,333750814
50000,526732217
60000,736730309
70000,1003979530
80000,1300365118
90000,1669370399
100000,1455999813
110000,1835778667
120000,2207879692
130000,2464951272
140000,3034007412
150000,3265629627
160000,3681713659
170000,4151207905
180000,4643351959
190000,5171428704
200000,5722985447
210000,6373502187
220000,6906496497
230000,7593420176
240000,8273479443
250000,9103500086
260000,9703365056
270000,10441311918
280000,11210154600
290000,12008654735
300000,12839485183
310000,13780105142
320000,14623723043
330000,15534429456
340000,16598380763
350000,17607145756
360000,18574067634
370000,19556411322
380000,20682790767
390000,21808968557
400000,22914865389
410000,24137419304
420000,25305233284
430000,26536466033
440000,28862045960
450000,30454883324
460000,32671860556
470000,35912413409
480000,36328142079
490000,38520343425
500000,40786806781
