0,1082
10000,26402264
20000,83434403
30000,175913014
40000,336142397
50000,538146208
60000,738766056
70000,1055451328
80000,1323054000
90000,1917532760
100000,2085582629
110000,2442764624
120000,2903544572
130000,3528941413
140000,4099456436
150000,4652497255
160000,5020958317
170000,5747712549
180000,6604986754
190000,7531376528
200000,8372316047
210000,9342443351
220000,9791349630
230000,10513912410
240000,11322072473
250000,12258056657
260000,13287186291
270000,14486345536
280000,15471784252
290000,16517353144
300000,17713972958
310000,19013531041
320000,20429172565
330000,21690858488
340000,23558874997
350000,24348300922
360000,26409549462
370000,27502177631
380000,28832576354
390000,30699577959
400000,31969947825
410000,33399313405
420000,34888361391
430000,36810263703
440000,40350922076
450000,41790045594
460000,41896274505
470000,44431465549
480000,46217682685
490000,48198426892
500000,51373132926
